"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","59.7","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","61.4","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","59.2","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","56.1","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","61.4","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","64.3","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","370.6","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","375.3","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","344.7","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","371.2","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","374.7","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","366.0","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","374.0","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368878","11.4.1.3.1","376.1","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","104.2","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","100.1","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","84.8","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","95.0","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","109.2","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","101.2","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","100.9","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19684143","11.4.1.3.2","95.4","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","174.7","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","183.2","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","167.3","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","185.5","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","173.7","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","178.7","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","180.1","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19684144","11.4.1.3.3","188.2","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","91.7","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","92.0","","","","1"
